,Estimate_Median_value_(dollars),Margin_of_Error_Median_value_(dollars),CensusTract,Geographic_Area_Name
1191,433400,17457,6037104201,"Census Tract 1042.01, Los Angeles County, California"
1192,405500,26274,6037104203,"Census Tract 1042.03, Los Angeles County, California"
1193,327100,146386,6037104204,"Census Tract 1042.04, Los Angeles County, California"
1194,393600,24034,6037104310,"Census Tract 1043.10, Los Angeles County, California"
1195,431300,27559,6037104320,"Census Tract 1043.20, Los Angeles County, California"
1196,425300,14321,6037104401,"Census Tract 1044.01, Los Angeles County, California"
1197,389000,32243,6037104403,"Census Tract 1044.03, Los Angeles County, California"
1198,440300,21039,6037104404,"Census Tract 1044.04, Los Angeles County, California"
1199,409900,34974,6037104500,"Census Tract 1045, Los Angeles County, California"
1200,426300,12659,6037104610,"Census Tract 1046.10, Los Angeles County, California"
1201,434700,15859,6037104620,"Census Tract 1046.20, Los Angeles County, California"
1202,422700,32694,6037104701,"Census Tract 1047.01, Los Angeles County, California"
1203,357300,76565,6037104703,"Census Tract 1047.03, Los Angeles County, California"
1204,259400,51026,6037104704,"Census Tract 1047.04, Los Angeles County, California"
1205,398300,33992,6037104810,"Census Tract 1048.10, Los Angeles County, California"
1206,407700,31178,6037104821,"Census Tract 1048.21, Los Angeles County, California"
1207,461200,24771,6037104822,"Census Tract 1048.22, Los Angeles County, California"
1208,523100,37707,6037106010,"Census Tract 1060.10, Los Angeles County, California"
1209,528400,39387,6037106020,"Census Tract 1060.20, Los Angeles County, California"
1210,490900,34859,6037106111,"Census Tract 1061.11, Los Angeles County, California"
1211,486900,25862,6037106112,"Census Tract 1061.12, Los Angeles County, California"
1212,474100,18360,6037106113,"Census Tract 1061.13, Los Angeles County, California"
1213,350600,25095,6037106114,"Census Tract 1061.14, Los Angeles County, California"
1214,454700,16602,6037106403,"Census Tract 1064.03, Los Angeles County, California"
1215,399100,55974,6037106405,"Census Tract 1064.05, Los Angeles County, California"
1216,412300,36773,6037106406,"Census Tract 1064.06, Los Angeles County, California"
1217,263500,32462,6037106407,"Census Tract 1064.07, Los Angeles County, California"
1218,357600,32038,6037106408,"Census Tract 1064.08, Los Angeles County, California"
1219,547900,39078,6037106510,"Census Tract 1065.10, Los Angeles County, California"
1220,427100,23735,6037106520,"Census Tract 1065.20, Los Angeles County, California"
1221,706200,24042,6037106603,"Census Tract 1066.03, Los Angeles County, California"
1222,525500,62226,6037106604,"Census Tract 1066.04, Los Angeles County, California"
1223,684500,23250,6037106641,"Census Tract 1066.41, Los Angeles County, California"
1224,622000,28077,6037106642,"Census Tract 1066.42, Los Angeles County, California"
1225,913500,40581,6037106643,"Census Tract 1066.43, Los Angeles County, California"
1226,694000,36009,6037106645,"Census Tract 1066.45, Los Angeles County, California"
1227,590400,17001,6037106646,"Census Tract 1066.46, Los Angeles County, California"
1228,443000,33054,6037106648,"Census Tract 1066.48, Los Angeles County, California"
1229,542400,38416,6037106649,"Census Tract 1066.49, Los Angeles County, California"
1230,424400,30696,6037107010,"Census Tract 1070.10, Los Angeles County, California"
1231,420600,19476,6037107020,"Census Tract 1070.20, Los Angeles County, California"
1232,731800,38502,6037108101,"Census Tract 1081.01, Los Angeles County, California"
1233,725800,59555,6037108102,"Census Tract 1081.02, Los Angeles County, California"
1234,869600,37857,6037108103,"Census Tract 1081.03, Los Angeles County, California"
1235,769200,45467,6037108104,"Census Tract 1081.04, Los Angeles County, California"
1236,713000,29627,6037108201,"Census Tract 1082.01, Los Angeles County, California"
1237,813800,43282,6037108202,"Census Tract 1082.02, Los Angeles County, California"
1238,428600,22402,6037109100,"Census Tract 1091, Los Angeles County, California"
1239,504000,34376,6037109200,"Census Tract 1092, Los Angeles County, California"
1240,517100,39670,6037109300,"Census Tract 1093, Los Angeles County, California"
1241,415800,52581,6037109400,"Census Tract 1094, Los Angeles County, California"
1242,442500,71435,6037109500,"Census Tract 1095, Los Angeles County, California"
1243,524700,50842,6037109601,"Census Tract 1096.01, Los Angeles County, California"
1244,482200,33958,6037109603,"Census Tract 1096.03, Los Angeles County, California"
1245,500000,36010,6037109604,"Census Tract 1096.04, Los Angeles County, California"
1246,562100,26814,6037109700,"Census Tract 1097, Los Angeles County, California"
1247,548000,37518,6037109800,"Census Tract 1098, Los Angeles County, California"
1248,526900,35923,6037111100,"Census Tract 1111, Los Angeles County, California"
1249,616100,39595,6037111201,"Census Tract 1112.01, Los Angeles County, California"
1250,594900,19586,6037111202,"Census Tract 1112.02, Los Angeles County, California"
1251,825300,33206,6037111204,"Census Tract 1112.04, Los Angeles County, California"
1252,527200,54911,6037111205,"Census Tract 1112.05, Los Angeles County, California"
1253,691700,25988,6037111206,"Census Tract 1112.06, Los Angeles County, California"
1254,553400,50001,6037111301,"Census Tract 1113.01, Los Angeles County, California"
1255,615700,20870,6037111302,"Census Tract 1113.02, Los Angeles County, California"
1256,595100,16753,6037111400,"Census Tract 1114, Los Angeles County, California"
1257,678400,22618,6037113101,"Census Tract 1131.01, Los Angeles County, California"
1258,897300,30190,6037113102,"Census Tract 1131.02, Los Angeles County, California"
1259,486500,17520,6037113211,"Census Tract 1132.11, Los Angeles County, California"
1260,568900,28573,6037113212,"Census Tract 1132.12, Los Angeles County, California"
1261,543000,57855,6037113213,"Census Tract 1132.13, Los Angeles County, California"
1262,680600,27419,6037113231,"Census Tract 1132.31, Los Angeles County, California"
1263,646700,14041,6037113232,"Census Tract 1132.32, Los Angeles County, California"
1264,338800,111392,6037113233,"Census Tract 1132.33, Los Angeles County, California"
1265,417900,159373,6037113234,"Census Tract 1132.34, Los Angeles County, California"
1266,530400,58680,6037113235,"Census Tract 1132.35, Los Angeles County, California"
1267,750700,71371,6037113237,"Census Tract 1132.37, Los Angeles County, California"
1268,870300,31617,6037113301,"Census Tract 1133.01, Los Angeles County, California"
1269,577600,18128,6037113303,"Census Tract 1133.03, Los Angeles County, California"
1270,373900,30260,6037113321,"Census Tract 1133.21, Los Angeles County, California"
1271,638500,15150,6037113322,"Census Tract 1133.22, Los Angeles County, California"
1272,560400,28025,6037113401,"Census Tract 1134.01, Los Angeles County, California"
1273,513500,53407,6037113421,"Census Tract 1134.21, Los Angeles County, California"
1274,483000,31117,6037113422,"Census Tract 1134.22, Los Angeles County, California"
1275,887000,27856,6037115101,"Census Tract 1151.01, Los Angeles County, California"
1277,494400,127337,6037115104,"Census Tract 1151.04, Los Angeles County, California"
1278,617900,41115,6037115201,"Census Tract 1152.01, Los Angeles County, California"
1279,557100,41060,6037115202,"Census Tract 1152.02, Los Angeles County, California"
1280,625000,42856,6037115301,"Census Tract 1153.01, Los Angeles County, California"
1281,556000,34702,6037115302,"Census Tract 1153.02, Los Angeles County, California"
1282,729900,77907,6037115401,"Census Tract 1154.01, Los Angeles County, California"
1283,556900,43123,6037115403,"Census Tract 1154.03, Los Angeles County, California"
1284,570500,33319,6037115404,"Census Tract 1154.04, Los Angeles County, California"
1285,444000,17258,6037117101,"Census Tract 1171.01, Los Angeles County, California"
1286,471800,41813,6037117102,"Census Tract 1171.02, Los Angeles County, California"
1287,593000,152258,6037117201,"Census Tract 1172.01, Los Angeles County, California"
1288,579100,24937,6037117202,"Census Tract 1172.02, Los Angeles County, California"
1289,584200,16559,6037117301,"Census Tract 1173.01, Los Angeles County, California"
1290,592800,14968,6037117302,"Census Tract 1173.02, Los Angeles County, California"
1291,525900,44728,6037117303,"Census Tract 1173.03, Los Angeles County, California"
1292,566100,30281,6037117404,"Census Tract 1174.04, Los Angeles County, California"
1293,270800,93452,6037117405,"Census Tract 1174.05, Los Angeles County, California"
1295,411400,53739,6037117408,"Census Tract 1174.08, Los Angeles County, California"
1296,337900,43979,6037117510,"Census Tract 1175.10, Los Angeles County, California"
1297,379700,71058,6037117520,"Census Tract 1175.20, Los Angeles County, California"
1298,333400,26279,6037117530,"Census Tract 1175.30, Los Angeles County, California"
1299,454100,11595,6037119001,"Census Tract 1190.01, Los Angeles County, California"
1300,452400,18320,6037119002,"Census Tract 1190.02, Los Angeles County, California"
1301,454500,16982,6037119201,"Census Tract 1192.01, Los Angeles County, California"
1302,405100,30099,6037119202,"Census Tract 1192.02, Los Angeles County, California"
1303,317400,42778,6037119310,"Census Tract 1193.10, Los Angeles County, California"
1304,403600,48344,6037119320,"Census Tract 1193.20, Los Angeles County, California"
1306,373000,17796,6037119341,"Census Tract 1193.41, Los Angeles County, California"
1307,293000,21111,6037119342,"Census Tract 1193.42, Los Angeles County, California"
1308,443900,23372,6037119400,"Census Tract 1194, Los Angeles County, California"
1309,529700,44029,6037119700,"Census Tract 1197, Los Angeles County, California"
1310,450700,18138,6037119800,"Census Tract 1198, Los Angeles County, California"
1311,432800,18484,6037119900,"Census Tract 1199, Los Angeles County, California"
1312,435500,22403,6037120010,"Census Tract 1200.10, Los Angeles County, California"
1313,437100,54903,6037120020,"Census Tract 1200.20, Los Angeles County, California"
1314,446000,49974,6037120030,"Census Tract 1200.30, Los Angeles County, California"
1315,283900,217654,6037120103,"Census Tract 1201.03, Los Angeles County, California"
1316,403400,43259,6037120104,"Census Tract 1201.04, Los Angeles County, California"
1317,435800,16633,6037120105,"Census Tract 1201.05, Los Angeles County, California"
1318,403600,150004,6037120106,"Census Tract 1201.06, Los Angeles County, California"
1319,382400,84585,6037120107,"Census Tract 1201.07, Los Angeles County, California"
1320,288700,15821,6037120108,"Census Tract 1201.08, Los Angeles County, California"
1321,453500,22827,6037120300,"Census Tract 1203, Los Angeles County, California"
1322,450000,48554,6037120400,"Census Tract 1204, Los Angeles County, California"
1323,490700,33595,6037121010,"Census Tract 1210.10, Los Angeles County, California"
1324,508500,48998,6037121020,"Census Tract 1210.20, Los Angeles County, California"
1325,474800,29831,6037121101,"Census Tract 1211.01, Los Angeles County, California"
1326,556600,40659,6037121102,"Census Tract 1211.02, Los Angeles County, California"
1327,470800,31524,6037121210,"Census Tract 1212.10, Los Angeles County, California"
1328,477400,38314,6037121221,"Census Tract 1212.21, Los Angeles County, California"
1329,473800,40219,6037121222,"Census Tract 1212.22, Los Angeles County, California"
1330,544400,38950,6037121600,"Census Tract 1216, Los Angeles County, California"
1331,485900,111330,6037121801,"Census Tract 1218.01, Los Angeles County, California"
1332,474800,28583,6037121802,"Census Tract 1218.02, Los Angeles County, California"
1333,509800,62753,6037121900,"Census Tract 1219, Los Angeles County, California"
1334,537000,44734,6037122000,"Census Tract 1220, Los Angeles County, California"
1335,454100,28262,6037122120,"Census Tract 1221.20, Los Angeles County, California"
1336,452200,24579,6037122121,"Census Tract 1221.21, Los Angeles County, California"
1337,415600,53248,6037122122,"Census Tract 1221.22, Los Angeles County, California"
1338,453900,22475,6037122200,"Census Tract 1222, Los Angeles County, California"
1339,379500,70768,6037122410,"Census Tract 1224.10, Los Angeles County, California"
1340,473000,22543,6037122420,"Census Tract 1224.20, Los Angeles County, California"
1341,464800,23762,6037123010,"Census Tract 1230.10, Los Angeles County, California"
1342,419100,32020,6037123020,"Census Tract 1230.20, Los Angeles County, California"
1343,481100,35018,6037123103,"Census Tract 1231.03, Los Angeles County, California"
1344,555600,70423,6037123104,"Census Tract 1231.04, Los Angeles County, California"
1345,587300,55170,6037123203,"Census Tract 1232.03, Los Angeles County, California"
1346,540900,85494,6037123204,"Census Tract 1232.04, Los Angeles County, California"
1347,472100,67826,6037123205,"Census Tract 1232.05, Los Angeles County, California"
1348,416400,39358,6037123206,"Census Tract 1232.06, Los Angeles County, California"
1349,471900,25452,6037123301,"Census Tract 1233.01, Los Angeles County, California"
1350,523900,53401,6037123303,"Census Tract 1233.03, Los Angeles County, California"
1351,579800,34033,6037123304,"Census Tract 1233.04, Los Angeles County, California"
1352,538800,111213,6037123410,"Census Tract 1234.10, Los Angeles County, California"
1353,515400,47363,6037123420,"Census Tract 1234.20, Los Angeles County, California"
1354,611800,50427,6037123510,"Census Tract 1235.10, Los Angeles County, California"
1355,623300,21255,6037123520,"Census Tract 1235.20, Los Angeles County, California"
1356,571900,32154,6037123601,"Census Tract 1236.01, Los Angeles County, California"
1357,760400,57371,6037123602,"Census Tract 1236.02, Los Angeles County, California"
1358,595000,31282,6037123700,"Census Tract 1237, Los Angeles County, California"
1359,797400,89625,6037123800,"Census Tract 1238, Los Angeles County, California"
1360,595100,61374,6037123901,"Census Tract 1239.01, Los Angeles County, California"
1361,651700,41580,6037123902,"Census Tract 1239.02, Los Angeles County, California"
1362,960800,147286,6037124000,"Census Tract 1240, Los Angeles County, California"
1363,655000,54305,6037124102,"Census Tract 1241.02, Los Angeles County, California"
1364,594300,49682,6037124103,"Census Tract 1241.03, Los Angeles County, California"
1365,577100,85107,6037124104,"Census Tract 1241.04, Los Angeles County, California"
1366,526400,66833,6037124105,"Census Tract 1241.05, Los Angeles County, California"
1367,606500,19311,6037124201,"Census Tract 1242.01, Los Angeles County, California"
1368,613000,41151,6037124203,"Census Tract 1242.03, Los Angeles County, California"
1369,281700,201139,6037124204,"Census Tract 1242.04, Los Angeles County, California"
1370,603800,34678,6037124300,"Census Tract 1243, Los Angeles County, California"
1371,812800,80408,6037124400,"Census Tract 1244, Los Angeles County, California"
1372,845600,53679,6037124500,"Census Tract 1245, Los Angeles County, California"
1373,813300,47873,6037124600,"Census Tract 1246, Los Angeles County, California"
1374,921600,88881,6037124700,"Census Tract 1247, Los Angeles County, California"
1375,801600,117825,6037124902,"Census Tract 1249.02, Los Angeles County, California"
1376,513700,75668,6037124903,"Census Tract 1249.03, Los Angeles County, California"
1377,815600,253675,6037125100,"Census Tract 1251, Los Angeles County, California"
1378,719800,119401,6037125200,"Census Tract 1252, Los Angeles County, California"
1379,770100,100548,6037125310,"Census Tract 1253.10, Los Angeles County, California"
1380,495700,133782,6037125320,"Census Tract 1253.20, Los Angeles County, California"
1381,355100,34427,6037125401,"Census Tract 1254.01, Los Angeles County, California"
1382,650000,45117,6037125402,"Census Tract 1254.02, Los Angeles County, California"
1383,614600,94925,6037125501,"Census Tract 1255.01, Los Angeles County, California"
1384,697200,101068,6037125502,"Census Tract 1255.02, Los Angeles County, California"
1385,1030400,140169,6037125600,"Census Tract 1256, Los Angeles County, California"
1386,421400,75653,6037127102,"Census Tract 1271.02, Los Angeles County, California"
1387,302900,91321,6037127103,"Census Tract 1271.03, Los Angeles County, California"
1388,489000,47021,6037127104,"Census Tract 1271.04, Los Angeles County, California"
1389,430500,49942,6037127210,"Census Tract 1272.10, Los Angeles County, California"
1390,474100,60172,6037127220,"Census Tract 1272.20, Los Angeles County, California"
1391,527100,59285,6037127300,"Census Tract 1273, Los Angeles County, California"
1392,472600,25646,6037127400,"Census Tract 1274, Los Angeles County, California"
1393,257400,29737,6037127520,"Census Tract 1275.20, Los Angeles County, California"
1394,497800,81000,6037127603,"Census Tract 1276.03, Los Angeles County, California"
1395,474200,80029,6037127604,"Census Tract 1276.04, Los Angeles County, California"
1396,565800,71225,6037127605,"Census Tract 1276.05, Los Angeles County, California"
1397,520600,59067,6037127606,"Census Tract 1276.06, Los Angeles County, California"
1398,605300,55722,6037127711,"Census Tract 1277.11, Los Angeles County, California"
1399,664400,90530,6037127712,"Census Tract 1277.12, Los Angeles County, California"
1400,478000,48884,6037127803,"Census Tract 1278.03, Los Angeles County, California"
1401,494900,44038,6037127804,"Census Tract 1278.04, Los Angeles County, California"
1402,539400,67452,6037127805,"Census Tract 1278.05, Los Angeles County, California"
1403,531300,81352,6037127806,"Census Tract 1278.06, Los Angeles County, California"
1404,477200,40625,6037127910,"Census Tract 1279.10, Los Angeles County, California"
1405,521500,54830,6037127920,"Census Tract 1279.20, Los Angeles County, California"
1406,601200,33104,6037128101,"Census Tract 1281.01, Los Angeles County, California"
1407,493500,60889,6037128102,"Census Tract 1281.02, Los Angeles County, California"
1409,655100,41866,6037128220,"Census Tract 1282.20, Los Angeles County, California"
1410,433300,105834,6037128302,"Census Tract 1283.02, Los Angeles County, California"
1411,397200,70421,6037128303,"Census Tract 1283.03, Los Angeles County, California"
1412,678300,40758,6037128400,"Census Tract 1284, Los Angeles County, California"
1413,631500,59106,6037128500,"Census Tract 1285, Los Angeles County, California"
1414,595400,91285,6037128601,"Census Tract 1286.01, Los Angeles County, California"
1415,830400,69952,6037128602,"Census Tract 1286.02, Los Angeles County, California"
1416,757400,90624,6037128702,"Census Tract 1287.02, Los Angeles County, California"
1417,608000,35116,6037128801,"Census Tract 1288.01, Los Angeles County, California"
1418,750800,96191,6037128802,"Census Tract 1288.02, Los Angeles County, California"
1419,894600,56639,6037128910,"Census Tract 1289.10, Los Angeles County, California"
1420,519700,61357,6037131010,"Census Tract 1310.10, Los Angeles County, California"
1421,479800,23160,6037131020,"Census Tract 1310.20, Los Angeles County, California"
1422,554700,32799,6037131100,"Census Tract 1311, Los Angeles County, California"
1423,572100,29285,6037131200,"Census Tract 1312, Los Angeles County, California"
1424,468300,28336,6037131300,"Census Tract 1313, Los Angeles County, California"
1425,445500,29011,6037131400,"Census Tract 1314, Los Angeles County, California"
1426,553200,40175,6037131600,"Census Tract 1316, Los Angeles County, California"
1427,416300,61418,6037131701,"Census Tract 1317.01, Los Angeles County, California"
1428,416800,71205,6037131702,"Census Tract 1317.02, Los Angeles County, California"
1429,497100,51305,6037131800,"Census Tract 1318, Los Angeles County, California"
1430,520400,40915,6037131900,"Census Tract 1319, Los Angeles County, California"
1431,594000,24460,6037132001,"Census Tract 1320.01, Los Angeles County, California"
1432,610000,16021,6037132002,"Census Tract 1320.02, Los Angeles County, California"
1433,578600,36898,6037132101,"Census Tract 1321.01, Los Angeles County, California"
1434,472900,39779,6037132102,"Census Tract 1321.02, Los Angeles County, California"
1435,459900,36894,6037132300,"Census Tract 1323, Los Angeles County, California"
1436,513700,63112,6037132501,"Census Tract 1325.01, Los Angeles County, California"
1437,356900,38972,6037132502,"Census Tract 1325.02, Los Angeles County, California"
1438,586000,27097,6037132700,"Census Tract 1327, Los Angeles County, California"
1439,652000,19500,6037132900,"Census Tract 1329, Los Angeles County, California"
1440,462300,23749,6037133000,"Census Tract 1330, Los Angeles County, California"
1441,601700,19906,6037133100,"Census Tract 1331, Los Angeles County, California"
1442,467100,27983,6037134001,"Census Tract 1340.01, Los Angeles County, California"
1443,494400,38737,6037134002,"Census Tract 1340.02, Los Angeles County, California"
1444,559400,28922,6037134101,"Census Tract 1341.01, Los Angeles County, California"
1445,510800,46926,6037134103,"Census Tract 1341.03, Los Angeles County, California"
1446,544700,45213,6037134104,"Census Tract 1341.04, Los Angeles County, California"
1447,555800,27931,6037134201,"Census Tract 1342.01, Los Angeles County, California"
1448,583200,19991,6037134302,"Census Tract 1343.02, Los Angeles County, California"
1449,486400,35074,6037134303,"Census Tract 1343.03, Los Angeles County, California"
1450,581700,19574,6037134304,"Census Tract 1343.04, Los Angeles County, California"
1452,443300,67392,6037134306,"Census Tract 1343.06, Los Angeles County, California"
1453,824200,35301,6037134421,"Census Tract 1344.21, Los Angeles County, California"
1454,669500,27447,6037134422,"Census Tract 1344.22, Los Angeles County, California"
1455,678400,27319,6037134423,"Census Tract 1344.23, Los Angeles County, California"
1456,930800,22134,6037134424,"Census Tract 1344.24, Los Angeles County, California"
1457,381400,58206,6037134520,"Census Tract 1345.20, Los Angeles County, California"
1458,418000,55492,6037134521,"Census Tract 1345.21, Los Angeles County, California"
1459,415300,51756,6037134522,"Census Tract 1345.22, Los Angeles County, California"
1460,511100,65870,6037134710,"Census Tract 1347.10, Los Angeles County, California"
1461,531600,38207,6037134720,"Census Tract 1347.20, Los Angeles County, California"
1462,487600,25789,6037134800,"Census Tract 1348, Los Angeles County, California"
1463,616100,12872,6037134901,"Census Tract 1349.01, Los Angeles County, California"
1465,501800,41884,6037134904,"Census Tract 1349.04, Los Angeles County, California"
1466,517600,90179,6037134905,"Census Tract 1349.05, Los Angeles County, California"
1467,628800,14263,6037135102,"Census Tract 1351.02, Los Angeles County, California"
1468,579300,29491,6037135111,"Census Tract 1351.11, Los Angeles County, California"
1469,332100,26030,6037135113,"Census Tract 1351.13, Los Angeles County, California"
1470,511400,96619,6037135114,"Census Tract 1351.14, Los Angeles County, California"
1471,665100,21039,6037135201,"Census Tract 1352.01, Los Angeles County, California"
1472,629200,12225,6037135202,"Census Tract 1352.02, Los Angeles County, California"
1473,655100,16644,6037135203,"Census Tract 1352.03, Los Angeles County, California"
1474,843400,39242,6037137000,"Census Tract 1370, Los Angeles County, California"
1475,461100,19794,6037137103,"Census Tract 1371.03, Los Angeles County, California"
1476,716400,47278,6037137104,"Census Tract 1371.04, Los Angeles County, California"
1477,673300,79728,6037137201,"Census Tract 1372.01, Los Angeles County, California"
1478,917800,54716,6037137301,"Census Tract 1373.01, Los Angeles County, California"
1479,848900,27598,6037137302,"Census Tract 1373.02, Los Angeles County, California"
1480,775500,45479,6037137401,"Census Tract 1374.01, Los Angeles County, California"
1481,822500,60656,6037137402,"Census Tract 1374.02, Los Angeles County, California"
1482,1040000,154212,6037137501,"Census Tract 1375.01, Los Angeles County, California"
1483,749000,53568,6037137502,"Census Tract 1375.02, Los Angeles County, California"
1484,1303200,111874,6037137504,"Census Tract 1375.04, Los Angeles County, California"
1485,856600,39459,6037138000,"Census Tract 1380, Los Angeles County, California"
1486,702100,44058,6037139001,"Census Tract 1390.01, Los Angeles County, California"
1487,567000,47556,6037139200,"Census Tract 1392, Los Angeles County, California"
1488,812500,76472,6037139301,"Census Tract 1393.01, Los Angeles County, California"
1489,260500,44413,6037139302,"Census Tract 1393.02, Los Angeles County, California"
1490,375600,20505,6037139303,"Census Tract 1393.03, Los Angeles County, California"
1491,844100,110423,6037139401,"Census Tract 1394.01, Los Angeles County, California"
1492,1266500,150875,6037139402,"Census Tract 1394.02, Los Angeles County, California"
1493,841200,87576,6037139502,"Census Tract 1395.02, Los Angeles County, California"
1494,380200,31172,6037139503,"Census Tract 1395.03, Los Angeles County, California"
1495,548300,49298,6037139504,"Census Tract 1395.04, Los Angeles County, California"
1496,862800,465154,6037139600,"Census Tract 1396, Los Angeles County, California"
1497,1167500,101556,6037139701,"Census Tract 1397.01, Los Angeles County, California"
1498,1462700,89890,6037139702,"Census Tract 1397.02, Los Angeles County, California"
1499,1589000,97984,6037139703,"Census Tract 1397.03, Los Angeles County, California"
1500,1217600,52066,6037139801,"Census Tract 1398.01, Los Angeles County, California"
1501,1233100,114896,6037139802,"Census Tract 1398.02, Los Angeles County, California"
1502,689800,60182,6037141101,"Census Tract 1411.01, Los Angeles County, California"
1503,948500,194691,6037141102,"Census Tract 1411.02, Los Angeles County, California"
1504,889000,83121,6037141201,"Census Tract 1412.01, Los Angeles County, California"
1505,873600,139042,6037141202,"Census Tract 1412.02, Los Angeles County, California"
1506,939400,107831,6037141302,"Census Tract 1413.02, Los Angeles County, California"
1507,494800,53832,6037141303,"Census Tract 1413.03, Los Angeles County, California"
1508,857100,210033,6037141304,"Census Tract 1413.04, Los Angeles County, California"
1509,1074900,96676,6037141400,"Census Tract 1414, Los Angeles County, California"
1510,1752500,242363,6037141500,"Census Tract 1415, Los Angeles County, California"
1511,1333500,131799,6037141600,"Census Tract 1416, Los Angeles County, California"
1512,1569400,121543,6037141700,"Census Tract 1417, Los Angeles County, California"
1513,679600,56341,6037143100,"Census Tract 1431, Los Angeles County, California"
1514,796600,138665,6037143200,"Census Tract 1432, Los Angeles County, California"
1515,922000,202798,6037143300,"Census Tract 1433, Los Angeles County, California"
1516,922300,99361,6037143400,"Census Tract 1434, Los Angeles County, California"
1517,1144500,81152,6037143500,"Census Tract 1435, Los Angeles County, California"
1518,750600,113307,6037143602,"Census Tract 1436.02, Los Angeles County, California"
1519,827800,174770,6037143603,"Census Tract 1436.03, Los Angeles County, California"
1520,699600,120466,6037143604,"Census Tract 1436.04, Los Angeles County, California"
1521,1200800,84244,6037143700,"Census Tract 1437, Los Angeles County, California"
1522,1260600,185354,6037143800,"Census Tract 1438, Los Angeles County, California"
1523,1605500,94758,6037143901,"Census Tract 1439.01, Los Angeles County, California"
1524,1189500,160117,6037143902,"Census Tract 1439.02, Los Angeles County, California"
1525,808600,61158,6037181000,"Census Tract 1810, Los Angeles County, California"
1526,834900,56013,6037181300,"Census Tract 1813, Los Angeles County, California"
1527,681100,58303,6037181400,"Census Tract 1814, Los Angeles County, California"
1528,685500,38752,6037181500,"Census Tract 1815, Los Angeles County, California"
1529,773000,67727,6037181600,"Census Tract 1816, Los Angeles County, California"
1530,648100,28109,6037183101,"Census Tract 1831.01, Los Angeles County, California"
1531,658500,88626,6037183103,"Census Tract 1831.03, Los Angeles County, California"
1532,690800,37970,6037183104,"Census Tract 1831.04, Los Angeles County, California"
1533,634600,49934,6037183220,"Census Tract 1832.20, Los Angeles County, California"
1534,698600,62160,6037183221,"Census Tract 1832.21, Los Angeles County, California"
1535,686900,45015,6037183222,"Census Tract 1832.22, Los Angeles County, California"
1536,581300,44213,6037183300,"Census Tract 1833, Los Angeles County, California"
1537,661800,74021,6037183401,"Census Tract 1834.01, Los Angeles County, California"
1538,664200,56187,6037183402,"Census Tract 1834.02, Los Angeles County, California"
1539,678000,41764,6037183510,"Census Tract 1835.10, Los Angeles County, California"
1540,795500,111511,6037183520,"Census Tract 1835.20, Los Angeles County, California"
1541,645400,34837,6037183610,"Census Tract 1836.10, Los Angeles County, California"
1542,662100,65239,6037183620,"Census Tract 1836.20, Los Angeles County, California"
1543,463200,46493,6037183701,"Census Tract 1837.01, Los Angeles County, California"
1544,630300,127364,6037183702,"Census Tract 1837.02, Los Angeles County, California"
1545,558500,90492,6037183810,"Census Tract 1838.10, Los Angeles County, California"
1546,420800,225285,6037183820,"Census Tract 1838.20, Los Angeles County, California"
1547,767600,71721,6037185100,"Census Tract 1851, Los Angeles County, California"
1548,711700,47740,6037185202,"Census Tract 1852.02, Los Angeles County, California"
1549,644200,55683,6037185203,"Census Tract 1852.03, Los Angeles County, California"
1550,783200,64073,6037185204,"Census Tract 1852.04, Los Angeles County, California"
1551,578800,45512,6037185310,"Census Tract 1853.10, Los Angeles County, California"
1552,488500,58144,6037185320,"Census Tract 1853.20, Los Angeles County, California"
1553,758100,47474,6037186100,"Census Tract 1861, Los Angeles County, California"
1554,689300,103797,6037186201,"Census Tract 1862.01, Los Angeles County, California"
1555,616900,81379,6037186202,"Census Tract 1862.02, Los Angeles County, California"
1556,783100,59225,6037186203,"Census Tract 1862.03, Los Angeles County, California"
1557,639200,49193,6037186301,"Census Tract 1863.01, Los Angeles County, California"
1558,745400,48695,6037186302,"Census Tract 1863.02, Los Angeles County, California"
1559,596200,93740,6037186401,"Census Tract 1864.01, Los Angeles County, California"
1560,630800,30405,6037186403,"Census Tract 1864.03, Los Angeles County, California"
1561,631500,42721,6037186404,"Census Tract 1864.04, Los Angeles County, California"
1562,795900,72535,6037187101,"Census Tract 1871.01, Los Angeles County, California"
1563,709300,48499,6037187102,"Census Tract 1871.02, Los Angeles County, California"
1564,633900,21256,6037187200,"Census Tract 1872, Los Angeles County, California"
1565,1014400,128401,6037187300,"Census Tract 1873, Los Angeles County, California"
1566,752200,80627,6037188100,"Census Tract 1881, Los Angeles County, California"
1567,1050400,150364,6037188201,"Census Tract 1882.01, Los Angeles County, California"
1568,1637800,67612,6037188202,"Census Tract 1882.02, Los Angeles County, California"
1569,784600,74819,6037188300,"Census Tract 1883, Los Angeles County, California"
1570,757200,169892,6037189101,"Census Tract 1891.01, Los Angeles County, California"
1571,793500,161738,6037189102,"Census Tract 1891.02, Los Angeles County, California"
1572,757800,193397,6037189201,"Census Tract 1892.01, Los Angeles County, California"
1573,1478600,433572,6037189202,"Census Tract 1892.02, Los Angeles County, California"
1574,1711100,84627,6037189300,"Census Tract 1893, Los Angeles County, California"
1575,1244100,223684,6037189400,"Census Tract 1894, Los Angeles County, California"
1576,1150800,238116,6037189500,"Census Tract 1895, Los Angeles County, California"
